x,y
1.060160278,2.638760328
1.063493889,2.647618532
1.066827778,2.653523922
1.070161667,2.665334702
1.073495278,2.675177336
1.076829167,2.68403554
1.080162778,2.689941168
1.083496667,2.698799372
1.086830556,2.708641529
1.090164167,2.714547157
1.093498056,2.727342367
1.096831667,2.733247995
1.100165556,2.741121531
1.103499167,2.748995543
1.106833056,2.758838415
1.110166944,2.762774944
1.113500556,2.774585962
1.116834444,2.783444166
1.120168056,2.793286562
1.123501944,2.801160574
1.126835556,2.809034586
1.130169444,2.814939976
1.133503333,2.827735186
1.136836944,2.832656622
1.140170833,2.845451593
1.143504444,2.853325605
1.146838333,2.862183809
1.150171944,2.868089437
1.153505833,2.877931595
1.156839444,2.888758183
1.160173333,2.896632433
1.163507222,2.906475067
1.166840833,2.914348602
1.170174722,2.923206806
1.173508333,2.93206501
1.176842222,2.939939022
1.180175833,2.950765848
1.183509722,2.95863986
1.186843611,2.968482018
1.190177222,2.976356268
1.193511111,2.98324585
1.196844722,2.995056868
1.200178611,2.999978065
1.203512222,3.012773275
1.206846111,3.022615671
1.210179722,3.027536869
1.213513611,3.036395073
1.216847222,3.047221661
1.220181111,3.055095911
1.223515,3.063953876
1.226848611,3.071828127
1.2301825,3.079701662
1.233516111,3.094465494
1.23685,3.099386454
1.240183611,3.108244896
1.2435175,3.117103338
1.246851111,3.12989831
1.250185,3.139740705
1.253518611,3.147614956
1.2568525,3.15647316
1.260186111,3.166315556
1.26352,3.177142143
1.266853889,3.181079149
1.2701875,3.196826935
1.273521389,3.204701185
1.276855,3.210606575
1.280188889,3.220448971
1.2835225,3.233244181
1.286856389,3.240133762
1.29019,3.248991966
1.293523889,3.256865978
1.2968575,3.268676758
1.300191389,3.282456398
1.303525,3.291314602
1.306858889,3.299188375
1.3101925,3.307062387
1.313526389,3.316905022
1.31686,3.326747179
1.320193889,3.334621429
1.323527778,3.349385023
1.326861389,3.355290413
1.330195278,3.366117001
1.333528889,3.374975204
1.336862778,3.387770414
1.340196389,3.397613049
1.343530278,3.4035182
1.346863889,3.414345026
1.350197778,3.427140236
1.353531389,3.43698287
1.356865278,3.439935446
1.360198889,3.453715086
1.363532778,3.461588621
1.366866389,3.473399878
1.370200278,3.482258081
1.373533889,3.493084669
1.376867778,3.505879879
1.380201389,3.512769699
1.383535278,3.524580479
1.386868889,3.530486107
1.390202778,3.541312933
1.393536389,3.55115509
1.396870278,3.564934731
1.400203889,3.573792934
1.403537778,3.585603476
1.406871667,3.592493296
1.410205278,3.604304314
1.413539167,3.619068146
1.416872778,3.621036768
1.420206667,3.633831978
1.423540278,3.645642519
1.426874167,3.656469345
1.430207778,3.667295933
1.433541667,3.675170183
1.436875278,3.686980963
1.440209167,3.696823597
1.443542778,3.705681562
1.446876667,3.716508389
1.450210278,3.727334976
1.453544167,3.738161564
1.456877778,3.74898839
1.460211667,3.760799408
1.463545278,3.770642042
1.466879167,3.785405159
1.470212778,3.794263363
1.473546667,3.802137613
1.476880278,3.812964201
1.480214167,3.822806835
1.483548056,3.833633661
1.486881667,3.844460249
1.490215556,3.854302645
1.493549167,3.862176418
1.496883056,3.873003244
1.500216667,3.883829832
1.503550556,3.89564085
1.506884167,3.9035151
1.510218056,3.917294264
1.513551667,3.930089474
1.516885556,3.937963486
1.520219167,3.950758219
1.523553056,3.961585283
1.526886667,3.975364685
1.530220556,3.983238697
1.533554167,3.991112471
1.536888056,4.001939297
