Gene_ID,Raw_FPKM,H3K4me3_signal_bin25,H3K27me3_signal_bin21
Eucgr.A02366,0,0.74855,-0.32811
Eucgr.A02373,0,10.7213,112.033
Eucgr.A02382,0,3.68524,-2.91811
Eucgr.A02390,0,-12.1338,15.2619
Eucgr.A02401,0,79.9062,-6.722
Eucgr.A02409,0,-13.5348,-4.63811
Eucgr.A02420,0,49.0343,103.638
Eucgr.A02421,0,44.4745,46.1321
Eucgr.A02422,0,34.1784,42.1399
Eucgr.A02423,0,19.6842,53.5351
Eucgr.A02424,0,35.8127,20.261
Eucgr.A02431,0,-9.87685,4.16117
Eucgr.A02433,0,108.686,58.46
Eucgr.A02445,0,59.4263,33.9926
Eucgr.A02458,0,5.335,76.9945
Eucgr.A02471,0,-17.6973,42.7785
Eucgr.A02479,0,44.8111,71.1153
Eucgr.A02485,0,54.0892,81.6917
Eucgr.A02487,0,35.6216,41.1556
Eucgr.A02490,0,-15.6171,-5.48811
Eucgr.A02497,0,-15.5409,-0.21811
Eucgr.A02515,0,41.6974,-4.74811
Eucgr.A02524,0,-12.4163,-8.23811
Eucgr.A02537,0,-14.508,-8.66812
Eucgr.A02539,0,-5.25373,-9.32945
Eucgr.A02549,0,92.5725,25.6515
Eucgr.A02550,0,-19.8878,-8.51811
Eucgr.A02566,0,4.06716,21.5712
Eucgr.A02572,0,-6.80156,39.1719
Eucgr.A02577,0,-13.3265,-2.23402
Eucgr.A02583,0,17.5878,100.331
Eucgr.A02589,0,23.803,8.13189
Eucgr.A02613,0,40.8886,2.68796
Eucgr.A02616,0,-17.2297,2.65245
Eucgr.A02623,0,-10.2199,-11.5299
Eucgr.A02627,0,-16.272,-5.84811
Eucgr.A02643,0,18.1667,12.4911
Eucgr.A02646,0,103.75,86.8893
Eucgr.A02648,0,-13.4581,-6.59811
Eucgr.A02659,0,-14.7563,-3.82811
Eucgr.A02668,0,37.6001,97.3698
Eucgr.A02673,0,62.4552,-4.87125
Eucgr.A02678,0,32.1713,-6.77811
Eucgr.A02686,0,77.4446,5.68263
Eucgr.A02687,0,23.5132,31.4028
Eucgr.A02710,0,37.1927,33.5903
Eucgr.A02711,0,-5.33257,41.9044
Eucgr.A02723,0,-4.05947,50.8752
Eucgr.A02732,0,-18.0069,62.6616
Eucgr.A02737,0,-17.8774,-8.45811
Eucgr.A02746,0,-160.916,24.6705
Eucgr.A02750,0,-14.6485,-6.39311
Eucgr.A02752,0,97.6805,6.76812
Eucgr.A02779,0,-11.168,18.8228
Eucgr.A02781,0,-16.2307,36.6835
Eucgr.A02803,0,-21.6552,-7.89093
Eucgr.A02826,0,82.9841,103.656
Eucgr.A02853,0,80.1894,88.3414
Eucgr.A02860,0,57.3771,45.7623
Eucgr.A02870,0,-6.44204,105.225
Eucgr.A02886,0,-20.207,74.4928
Eucgr.A02898,0,-6.32109,39.0661
Eucgr.A02901,0,64.9813,103.251
Eucgr.A02906,0,71.139,28.0828
Eucgr.A02909,0,-1.16772,-4.02862
Eucgr.A02926,0,24.9359,50.1652
Eucgr.A02942,0,7.97479,67.725
Eucgr.A02955,0,58.3247,101.187
Eucgr.A02958,0,39.6201,77.0044
Eucgr.A02977,0,40.0646,65.7718
Eucgr.A02978,0,16.1362,43.3272
Eucgr.A02979,0,-13.0647,26.1519
Eucgr.A02998,0,-1.53914,0.431891
Eucgr.B00014,0,-5.91091,-7.94812
Eucgr.B00016,0,-14.508,-10.2981
Eucgr.B00018,0,-13.1902,-1.00811
Eucgr.B00019,0,-9.25397,9.08189
Eucgr.B00020,0,-10.3245,15.1719
Eucgr.B00023,0,1.48172,31.976
Eucgr.B00031,0,88.1333,88.6293
Eucgr.B00036,0,27.1557,69.3051
Eucgr.B00049,0,-24.0714,-7.80559
Eucgr.B00053,0,56.5352,75.8745
Eucgr.B00062,0,-0.92937,59.3736
Eucgr.B00078,0,-8.60927,11.9019
Eucgr.B00090,0,32.089,39.7121
Eucgr.B00104,0,-14.508,-11.1081
Eucgr.B00105,0,4.07663,34.5119
Eucgr.B00113,0,91.3139,43.891
Eucgr.B00126,0,-10.1209,-23.5023
Eucgr.B00135,0,78.6505,23.06
Eucgr.B00151,0,-14.0269,-11.1081
Eucgr.B00156,0,-8.10255,52.7251
Eucgr.B00163,0,7.57718,-0.928109
Eucgr.B00187,0,5.02864,21.9219
Eucgr.B00188,0,20.942,-9.07811
Eucgr.B00190,0,-4.31176,2.27189
Eucgr.B00191,0,-1.32961,-6.22811
Eucgr.B00203,0,29.6695,6.93084
Eucgr.B00216,0,-9.98376,-8.52811
Eucgr.B00225,0,49.9583,0.557976
Eucgr.B00230,0,-7.17929,5.26189
Eucgr.B00231,0,-2.64202,14.7665
Eucgr.B00232,0,-10.2409,1.99189
Eucgr.B00235,0,-20.6809,4.10189
Eucgr.B00236,0,-7.7276,4.90235
Eucgr.B00257,0,-12.4372,0.891886
